,Uniprot,Ensembl,GeneID
608,O75891,ENSG00000144908,10840
609,Q3SY69,ENSG00000136010,160428
610,Q60I27,ENSG00000178038,259173
611,P30838,ENSG00000108602,218
612,P51648,ENSG00000072210,224
613,P43353,ENSG00000006534,221
614,P30038,ENSG00000159423,8659
615,P20292,ENSG00000132965,241
616,P49419,ENSG00000164904,501
617,Q9H2A2,ENSG00000118514,64577
618,P49189,ENSG00000143149,223
619,P24298,ENSG00000167701,2875
620,Q8TD30,ENSG00000166123,84706
621,P02768,ENSG00000163631,213
622,P05091,ENSG00000111275,217
623,P04075,ENSG00000149925,226
624,P05062,ENSG00000136872,229
625,P09972,ENSG00000109107,230
626,P15121,ENSG00000085662,231
627,Q2TAA5,ENSG00000253710,440138
628,Q9BV10,ENSG00000182858,79087
629,Q9NP73,ENSG00000101901,79868
630,Q96F25,ENSG00000172339,199857
631,Q9BT22,ENSG00000033011,56052
632,Q9H553,ENSG00000119523,85365
633,Q92685,ENSG00000214160,10195
634,Q9Y673,ENSG00000120697,29880
635,Q9Y672,ENSG00000088035,29929
636,Q9BVK2,ENSG00000159063,79053
637,Q9H6U8,ENSG00000086848,79796
638,Q13686,ENSG00000100601,8846
639,Q6NS38,ENSG00000189046,121642
640,Q96Q83,ENSG00000166199,221120
641,Q9NXW9,ENSG00000160993,54784
642,Q6P6C2,ENSG00000091542,54890
643,Q3KRA9,ENSG00000239382,84964
644,Q9BT30,ENSG00000125652,84266
645,Q96BT7,ENSG00000137760,91801
646,Q6UXT8,ENSG00000196711,389658
647,Q6UX46,ENSG00000189292,285016
648,Q6ZNB7,ENSG00000187546,392636
649,Q9UM73,ENSG00000171094,238
650,Q8N6M5,ENSG00000151360,55821
651,Q8TCU4,ENSG00000116127,7840
652,Q96QP1,ENSG00000073331,80216
653,Q86TB3,ENSG00000198796,115701
654,Q96L96,ENSG00000136383,57538
655,P55789,ENSG00000127554,2671
656,Q96Q42,ENSG00000003393,57679
657,P35858,ENSG00000099769,3483
658,Q15699,ENSG00000180318,8092
659,O95076,ENSG00000156150,257
660,Q9H161,ENSG00000052850,60529
661,Q9UHK6,ENSG00000242110,23600
662,Q9NP70,ENSG00000178522,258
663,P02760,ENSG00000106927,259
664,P19021,ENSG00000145730,5066
665,Q99217,ENSG00000125363,265
666,Q99218,ENSG00000099721,266
667,Q5JTC6,ENSG00000184675,139285
668,Q8N7J2,ENSG00000165566,219287
669,Q8N944,ENSG00000178171,205147
670,Q6DCA0,ENSG00000144233,83607
671,Q9UKV5,ENSG00000159461,267
672,Q86WK6,ENSG00000181754,57463
673,Q86SJ2,ENSG00000139211,347902
674,Q86WK7,ENSG00000176020,386724
675,Q16671,ENSG00000135409,269
676,Q9Y4X0,ENSG00000101935,9949
677,Q8IY45,ENSG00000151743,196394
678,Q9BXJ7,ENSG00000166126,81693
679,Q8IY63,ENSG00000166025,154810
680,Q9Y2J4,ENSG00000114019,51421
681,Q4VCS5,ENSG00000126016,154796
682,Q9H4A4,ENSG00000176393,6051
683,P23109,ENSG00000116748,270
684,Q01433,ENSG00000116337,271
685,Q01432,ENSG00000133805,272
686,Q07075,ENSG00000138792,2028
687,P49418,ENSG00000078053,273
688,P28838,ENSG00000002549,51056
689,P15144,ENSG00000166825,290
690,Q8N6M6,ENSG00000148120,84909
691,Q6Q4G3,ENSG00000172901,206338
692,Q9C0C7,ENSG00000110497,55626
693,P30533,ENSG00000163956,4043
694,Q6UX39,ENSG00000187689,401138
695,P0DUB6,ENSG00000237763,276
696,P0DUB6,ENSG00000237763,277
697,P0DUB6,ENSG00000237763,278
698,P0DTE7,ENSG00000174876,276
699,P0DTE7,ENSG00000174876,277
700,P0DTE7,ENSG00000174876,278
701,P0DTE8,ENSG00000187733,276
702,P0DTE8,ENSG00000187733,277
703,P0DTE8,ENSG00000187733,278
704,P19961,ENSG00000240038,280
705,P04746,ENSG00000243480,279
